customerid,customername,segment
SC-20305,Sean Christensen,Consumer
NC-18340,Nat Carroll,Consumer
SV-20785,Stewart Visinsky,Consumer
MM-17920,Michael Moore,Consumer
EB-14170,Evan Bailliet,Consumer
MC-17845,Michael Chen,Consumer
EP-13915,Emily Phan,Consumer
AF-10870,Art Ferguson,Consumer
AB-10105,Adrian Barton,Consumer
KH-16510,Keith Herrera,Consumer
JW-16075,Julia West,Consumer
LM-17065,Liz MacKendrick,Consumer
RH-19495,Rick Hansen,Consumer
GT-14710,Greg Tran,Consumer
IM-15070,Irene Maddox,Consumer
HF-14995,Herbert Flentye,Consumer
JF-15355,Jay Fein,Consumer
TS-21505,Tony Sayre,Consumer
EG-13900,Emily Grady,Consumer
CS-12355,Christine Sundaresam,Consumer
MS-17770,Maxwell Schwartz,Consumer
LC-17140,Logan Currie,Consumer
JL-15235,Janet Lee,Consumer
RW-19690,Robert Waldorf,Consumer
RF-19840,Roy Franzšsisch,Consumer
DL-13330,Denise Leinenbach,Consumer
LW-17215,Luke Weiss,Consumer
TS-21340,Toby Swindell,Consumer
DK-12895,Dana Kaydos,Consumer
RC-19960,Ryan Crowe,Consumer
DK-13090,Dave Kipp,Consumer
RB-19570,Rob Beeghly,Consumer
JL-15850,John Lucas,Consumer
TT-21070,Ted Trevino,Consumer
MB-18085,Mick Brown,Consumer
JM-16195,Justin MacKendrick,Consumer
TP-21415,Tom Prescott,Consumer
JE-15745,Joel Eaton,Consumer
AS-10240,Alan Shonely,Consumer
SH-20395,Shahid Hopkins,Consumer
JP-15520,Jeremy Pistek,Consumer
NS-18505,Neola Schneider,Consumer
TB-21595,Troy Blackwell,Consumer
PW-19240,Pierre Wener,Consumer
JH-15985,Joseph Holt,Consumer
EM-13960,Eric Murdock,Consumer
DP-13165,David Philippe,Consumer
OT-18730,Olvera Toch,Consumer
IG-15085,Ivan Gibson,Consumer
RF-19735,Roland Fjeld,Consumer
LT-16765,Larry Tron,Consumer
AZ-10750,Annie Zypern,Consumer
LE-16810,Laurel Elliston,Consumer
TM-21010,Tamara Manning,Consumer
PO-18865,Patrick O'Donnell,Consumer
BS-11665,Brian Stugart,Consumer
JA-15970,Joseph Airdo,Consumer
CD-11920,Carlos Daly,Consumer
BP-11155,Becky Pak,Consumer
MG-18145,Mike Gockenbach,Consumer
CS-12505,Cindy Stewart,Consumer
SM-20905,Susan MacKendrick,Consumer
CR-12730,Craig Reiter,Consumer
DB-13210,Dean Braden,Consumer
EN-13780,Edward Nazzal,Consumer
SF-20065,Sandra Flanagan,Consumer
GW-14605,Giulietta Weimer,Consumer
PO-18850,Patrick O'Brill,Consumer
SC-20020,Sam Craven,Consumer
LC-16885,Lena Creighton,Consumer
DC-12850,Dan Campbell,Consumer
EB-13930,Eric Barreto,Consumer
BD-11635,Brian Derr,Consumer
JB-15925,Joni Blumstein,Consumer
DN-13690,Duane Noonan,Consumer
HM-14980,Henry MacAllister,Consumer
CM-12115,Chad McGuire,Consumer
SJ-20500,Shirley Jackson,Consumer
DP-13000,Darren Powers,Consumer
CM-11935,Carlos Meador,Consumer
FM-14380,Fred McMath,Consumer
ND-18370,Natalie DeCherney,Consumer
DL-12865,Dan Lawera,Consumer
LT-17110,Liz Thompson,Consumer
MH-18025,Michelle Huthwaite,Consumer
ZD-21925,Zuschuss Donatelli,Consumer
BD-11605,Brian Dahlen,Consumer
TS-21610,Troy Staebel,Consumer
CK-12205,Chloris Kastensmidt,Consumer
PR-18880,Patrick Ryan,Consumer
TC-21295,Toby Carlisle,Consumer
VG-21790,Vivek Gonzalez,Consumer
SG-20080,Sandra Glassco,Consumer
PK-19075,Pete Kriz,Consumer
AC-10450,Amy Cox,Consumer
AT-10735,Annie Thurman,Consumer
KD-16270,Karen Daniels,Consumer
MC-17575,Matt Collins,Consumer
BW-11065,Barry Weirich,Consumer
PF-19165,Philip Fox,Consumer
RH-19555,Ritsa Hightower,Consumer
JF-15565,Jill Fjeld,Consumer
JC-15340,Jasper Cacioppo,Consumer
PS-18760,Pamela Stobb,Consumer
DB-13615,Doug Bickford,Consumer
JS-16030,Joy Smith,Consumer
JM-15865,John Murray,Consumer
JK-15205,Jamie Kunitz,Consumer
GA-14725,Guy Armstrong,Consumer
GZ-14470,Gary Zandusky,Consumer
DK-12985,Darren Koutras,Consumer
DW-13540,Don Weiss,Consumer
AI-10855,Arianne Irving,Consumer
AJ-10945,Ashley Jarboe,Consumer
LH-16900,Lena Hernandez,Consumer
EH-13945,Eric Hoffmann,Consumer
LB-16735,Larry Blacks,Consumer
TD-20995,Tamara Dahlen,Consumer
AR-10510,Andrew Roberts,Consumer
NP-18325,Naresj Patel,Consumer
AW-10840,Anthony Witt,Consumer
MH-17455,Mark Hamilton,Consumer
SC-20725,Steven Cartwright,Consumer
EJ-14155,Eva Jacobs,Consumer
CB-12415,Christy Brittain,Consumer
TB-21250,Tim Brockman,Consumer
DO-13435,Denny Ordway,Consumer
MV-18190,Mike Vittorini,Consumer
CC-12550,Clay Cheatham,Consumer
MO-17500,Mary O'Rourke,Consumer
LF-17185,Luke Foster,Consumer
JH-15430,Jennifer Halladay,Consumer
LD-17005,Lisa DeCherney,Consumer
Co-12640,Corey-Lock,Consumer
SS-20875,Sung Shariari,Consumer
TB-21625,Trudy Brown,Consumer
NP-18670,Nora Paige,Consumer
GB-14575,Giulietta Baptist,Consumer
JH-15910,Jonathan Howell,Consumer
EB-14110,Eugene Barchas,Consumer
CM-12445,Chuck Magee,Consumer
JO-15280,Jas O'Carroll,Consumer
LP-17095,Liz Preis,Consumer
RA-19285,Ralph Arnett,Consumer
DK-13375,Dennis Kane,Consumer
